department,state,rti_section,response_days
Tamil Nadu Police Headquarters,Telangana,Sec 8(1)(d) Commercial,55.2
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 6(1) General,32.8
Reserve Bank of India (RBI),Delhi,Sec 7(1) Life & Liberty,4.5
Employees Provident Fund Organisation (EPFO),Telangana,Sec 7(1) Life & Liberty,3.7
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 8(1)(d) Commercial,56.7
Southern Railway Headquarters,Delhi,Sec 6(1) General,40.5
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 7(1) Life & Liberty,2.9
Greater Chennai Corporation,Tamil Nadu,Sec 8(1)(j) Privacy,73.1
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 8(1)(d) Commercial,73.0
Reserve Bank of India (RBI),Delhi,Sec 7(1) Life & Liberty,2.1
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 8(1)(j) Privacy,38.7
Chennai Metro Water (CMWSSB),Maharashtra,Sec 7(1) Life & Liberty,2.0
Tamil Nadu Police Headquarters,Karnataka,Sec 8(1)(j) Privacy,49.8
Greater Chennai Corporation,Telangana,Sec 8(1)(d) Commercial,67.6
Reserve Bank of India (RBI),Maharashtra,Sec 7(1) Life & Liberty,3.7
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 7(1) Life & Liberty,5.0
Southern Railway Headquarters,Delhi,Sec 6(1) General,34.7
Chennai Metro Water (CMWSSB),Maharashtra,Sec 8(1)(d) Commercial,46.2
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 8(1)(j) Privacy,53.6
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 7(1) Life & Liberty,2.0
Tamil Nadu Police Headquarters,Telangana,Sec 7(1) Life & Liberty,8.0
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 8(1)(j) Privacy,51.6
Greater Chennai Corporation,Delhi,Sec 8(1)(d) Commercial,65.0
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 6(1) General,31.0
Chennai Metro Water (CMWSSB),Karnataka,Sec 6(1) General,22.6
Reserve Bank of India (RBI),Karnataka,Sec 7(1) Life & Liberty,6.7
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 8(1)(j) Privacy,48.5
Tamil Nadu Police Headquarters,Karnataka,Sec 7(1) Life & Liberty,2.0
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 8(1)(j) Privacy,84.9
Reserve Bank of India (RBI),Maharashtra,Sec 6(1) General,17.2
Southern Railway Headquarters,Karnataka,Sec 8(1)(d) Commercial,75.5
TANGEDCO (Electricity Board),Maharashtra,Sec 8(1)(j) Privacy,44.8
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 6(1) General,34.8
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 7(1) Life & Liberty,4.3
Reserve Bank of India (RBI),Telangana,Sec 8(1)(j) Privacy,39.4
Tamil Nadu Police Headquarters,Telangana,Sec 8(1)(d) Commercial,55.0
Southern Railway Headquarters,Maharashtra,Sec 7(1) Life & Liberty,3.7
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Tamil Nadu Police Headquarters,Maharashtra,Sec 6(1) General,32.1
Reserve Bank of India (RBI),Delhi,Sec 8(1)(j) Privacy,47.1
Tamil Nadu Police Headquarters,Maharashtra,Sec 7(1) Life & Liberty,2.0
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(d) Commercial,57.4
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(j) Privacy,40.9
Greater Chennai Corporation,Tamil Nadu,Sec 8(1)(d) Commercial,67.1
Greater Chennai Corporation,Maharashtra,Sec 7(1) Life & Liberty,3.1
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 8(1)(d) Commercial,52.2
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 6(1) General,28.9
Tamil Nadu Police Headquarters,Delhi,Sec 8(1)(d) Commercial,49.5
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(j) Privacy,58.6
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 8(1)(d) Commercial,47.8
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(d) Commercial,61.8
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 6(1) General,32.9
Chennai Metro Water (CMWSSB),Delhi,Sec 8(1)(d) Commercial,44.9
Tamil Nadu Police Headquarters,Telangana,Sec 8(1)(d) Commercial,66.0
Tamil Nadu Police Headquarters,Telangana,Sec 7(1) Life & Liberty,2.0
TANGEDCO (Electricity Board),Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Southern Railway Headquarters,Maharashtra,Sec 8(1)(j) Privacy,50.8
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 7(1) Life & Liberty,3.2
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 7(1) Life & Liberty,2.0
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 7(1) Life & Liberty,7.7
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 7(1) Life & Liberty,2.6
Greater Chennai Corporation,Tamil Nadu,Sec 6(1) General,50.8
TANGEDCO (Electricity Board),Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Reserve Bank of India (RBI),Tamil Nadu,Sec 6(1) General,16.8
Employees Provident Fund Organisation (EPFO),Telangana,Sec 6(1) General,46.5
Reserve Bank of India (RBI),Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Greater Chennai Corporation,Telangana,Sec 8(1)(d) Commercial,63.4
Greater Chennai Corporation,Telangana,Sec 6(1) General,41.5
Greater Chennai Corporation,Tamil Nadu,Sec 8(1)(d) Commercial,76.2
Southern Railway Headquarters,Delhi,Sec 8(1)(d) Commercial,71.0
Southern Railway Headquarters,Karnataka,Sec 7(1) Life & Liberty,3.7
Chennai Metro Water (CMWSSB),Maharashtra,Sec 8(1)(j) Privacy,43.7
Chennai Metro Water (CMWSSB),Telangana,Sec 7(1) Life & Liberty,5.6
Greater Chennai Corporation,Karnataka,Sec 8(1)(j) Privacy,62.1
TANGEDCO (Electricity Board),Delhi,Sec 8(1)(j) Privacy,38.4
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 7(1) Life & Liberty,2.5
Southern Railway Headquarters,Maharashtra,Sec 7(1) Life & Liberty,8.4
TANGEDCO (Electricity Board),Telangana,Sec 8(1)(j) Privacy,56.7
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 7(1) Life & Liberty,6.9
Southern Railway Headquarters,Delhi,Sec 8(1)(j) Privacy,64.2
Southern Railway Headquarters,Telangana,Sec 8(1)(d) Commercial,57.8
Chennai Metro Water (CMWSSB),Delhi,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 8(1)(d) Commercial,48.4
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 6(1) General,32.0
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(d) Commercial,78.3
Reserve Bank of India (RBI),Tamil Nadu,Sec 8(1)(d) Commercial,33.6
Reserve Bank of India (RBI),Karnataka,Sec 8(1)(j) Privacy,45.0
Reserve Bank of India (RBI),Maharashtra,Sec 8(1)(d) Commercial,45.9
Reserve Bank of India (RBI),Telangana,Sec 7(1) Life & Liberty,5.3
Tamil Nadu Police Headquarters,Delhi,Sec 8(1)(j) Privacy,58.8
Tamil Nadu Police Headquarters,Karnataka,Sec 6(1) General,38.0
Southern Railway Headquarters,Telangana,Sec 7(1) Life & Liberty,2.0
Greater Chennai Corporation,Tamil Nadu,Sec 6(1) General,42.2
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 8(1)(d) Commercial,56.2
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 7(1) Life & Liberty,7.5
Reserve Bank of India (RBI),Tamil Nadu,Sec 7(1) Life & Liberty,7.0
Southern Railway Headquarters,Delhi,Sec 6(1) General,39.6
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 7(1) Life & Liberty,8.3
TANGEDCO (Electricity Board),Maharashtra,Sec 7(1) Life & Liberty,2.0
Greater Chennai Corporation,Delhi,Sec 7(1) Life & Liberty,10.3
Southern Railway Headquarters,Delhi,Sec 8(1)(d) Commercial,63.1
Greater Chennai Corporation,Maharashtra,Sec 6(1) General,59.5
Greater Chennai Corporation,Maharashtra,Sec 7(1) Life & Liberty,2.0
Greater Chennai Corporation,Tamil Nadu,Sec 8(1)(j) Privacy,66.3
Southern Railway Headquarters,Delhi,Sec 8(1)(j) Privacy,68.6
Reserve Bank of India (RBI),Telangana,Sec 8(1)(j) Privacy,45.5
Chennai Metro Water (CMWSSB),Maharashtra,Sec 8(1)(j) Privacy,58.6
Chennai Metro Water (CMWSSB),Maharashtra,Sec 8(1)(d) Commercial,46.0
Reserve Bank of India (RBI),Karnataka,Sec 7(1) Life & Liberty,2.0
Greater Chennai Corporation,Telangana,Sec 6(1) General,48.9
TANGEDCO (Electricity Board),Telangana,Sec 7(1) Life & Liberty,3.2
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 8(1)(d) Commercial,54.6
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(j) Privacy,67.5
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 8(1)(d) Commercial,55.3
Employees Provident Fund Organisation (EPFO),Telangana,Sec 7(1) Life & Liberty,2.0
Reserve Bank of India (RBI),Maharashtra,Sec 6(1) General,20.9
TANGEDCO (Electricity Board),Telangana,Sec 8(1)(d) Commercial,57.2
Southern Railway Headquarters,Karnataka,Sec 6(1) General,37.1
Reserve Bank of India (RBI),Karnataka,Sec 8(1)(d) Commercial,43.8
Greater Chennai Corporation,Delhi,Sec 6(1) General,43.1
Chennai Metro Water (CMWSSB),Maharashtra,Sec 6(1) General,34.0
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 8(1)(j) Privacy,53.4
Tamil Nadu Police Headquarters,Delhi,Sec 6(1) General,27.3
Tamil Nadu Police Headquarters,Delhi,Sec 8(1)(j) Privacy,45.8
TANGEDCO (Electricity Board),Telangana,Sec 7(1) Life & Liberty,2.0
Greater Chennai Corporation,Telangana,Sec 7(1) Life & Liberty,3.5
Employees Provident Fund Organisation (EPFO),Delhi,Sec 8(1)(j) Privacy,81.3
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 8(1)(j) Privacy,48.0
Greater Chennai Corporation,Karnataka,Sec 8(1)(d) Commercial,57.8
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 8(1)(d) Commercial,50.8
TANGEDCO (Electricity Board),Karnataka,Sec 8(1)(d) Commercial,48.2
TANGEDCO (Electricity Board),Delhi,Sec 7(1) Life & Liberty,5.3
Employees Provident Fund Organisation (EPFO),Delhi,Sec 8(1)(d) Commercial,90.2
Tamil Nadu Police Headquarters,Karnataka,Sec 6(1) General,28.2
Greater Chennai Corporation,Telangana,Sec 6(1) General,38.7
Southern Railway Headquarters,Telangana,Sec 8(1)(d) Commercial,46.3
Tamil Nadu Police Headquarters,Delhi,Sec 6(1) General,32.1
Greater Chennai Corporation,Maharashtra,Sec 7(1) Life & Liberty,2.0
Tamil Nadu Police Headquarters,Telangana,Sec 6(1) General,38.0
Southern Railway Headquarters,Karnataka,Sec 7(1) Life & Liberty,2.0
Chennai Metro Water (CMWSSB),Telangana,Sec 8(1)(j) Privacy,47.1
Chennai Metro Water (CMWSSB),Karnataka,Sec 8(1)(j) Privacy,51.8
Employees Provident Fund Organisation (EPFO),Delhi,Sec 8(1)(j) Privacy,72.0
Chennai Metro Water (CMWSSB),Telangana,Sec 8(1)(j) Privacy,56.4
Chennai Metro Water (CMWSSB),Karnataka,Sec 6(1) General,23.6
Reserve Bank of India (RBI),Delhi,Sec 8(1)(d) Commercial,57.9
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 6(1) General,29.6
Reserve Bank of India (RBI),Karnataka,Sec 7(1) Life & Liberty,8.0
Reserve Bank of India (RBI),Maharashtra,Sec 6(1) General,24.2
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 6(1) General,48.3
Reserve Bank of India (RBI),Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Chennai Metro Water (CMWSSB),Telangana,Sec 8(1)(j) Privacy,56.0
Southern Railway Headquarters,Karnataka,Sec 8(1)(j) Privacy,67.3
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 8(1)(j) Privacy,71.1
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 8(1)(d) Commercial,68.7
TANGEDCO (Electricity Board),Delhi,Sec 7(1) Life & Liberty,2.0
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 7(1) Life & Liberty,2.0
TANGEDCO (Electricity Board),Maharashtra,Sec 6(1) General,23.2
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(d) Commercial,66.8
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 8(1)(j) Privacy,43.4
Chennai Metro Water (CMWSSB),Maharashtra,Sec 8(1)(d) Commercial,50.3
Employees Provident Fund Organisation (EPFO),Telangana,Sec 7(1) Life & Liberty,3.3
Chennai Metro Water (CMWSSB),Maharashtra,Sec 7(1) Life & Liberty,9.7
Chennai Metro Water (CMWSSB),Karnataka,Sec 6(1) General,25.8
Tamil Nadu Police Headquarters,Karnataka,Sec 6(1) General,26.7
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 7(1) Life & Liberty,8.5
Greater Chennai Corporation,Tamil Nadu,Sec 8(1)(j) Privacy,74.1
Tamil Nadu Police Headquarters,Karnataka,Sec 8(1)(j) Privacy,44.3
Greater Chennai Corporation,Telangana,Sec 8(1)(d) Commercial,72.7
Chennai Metro Water (CMWSSB),Maharashtra,Sec 7(1) Life & Liberty,2.0
Chennai Metro Water (CMWSSB),Delhi,Sec 7(1) Life & Liberty,5.7
Tamil Nadu Police Headquarters,Telangana,Sec 8(1)(j) Privacy,52.1
